Pokemon_1 ,Type_1,Hp_1,Attack_1,Defense_1,Speed_1,Total_Points_1,Pokemon_2 ,Type_2,Hp_2,Attack_2,Defense_2,Speed_2,Total_Points_2,Winner
Bulbasaur,Grass,45,49,49,45,118,Accelgor,Bug,80,70,40,145,310.5,2
Ivysaur,Grass,60,62,63,60,155,Ariados,Bug,70,90,70,40,254.5,2
Venusaur,Grass,80,82,83,80,255,Beautifly,Bug,60,70,50,65,224.5,1
Mega Venusaur,Grass,80,100,123,80,293,Beedrill,Bug,65,90,40,75,245,1
Charmander,Fire,39,52,43,65,189,Blipbug,Bug,25,20,20,45,6,1
Charmeleon,Fire,58,64,58,80,245.5,Burmy,Bug,40,29,45,36,22,1
Charizard,Fire,78,84,78,100,328.75,Butterfree,Bug,60,45,50,70,57,1
Mega Charizard X,Fire,78,130,111,100,349.5,Buzzwole,Bug,107,139,139,79,204,1
Mega Charizard Y,Fire,78,104,78,100,351.25,Cascoon,Bug,50,35,55,15,-53,1
Squirtle,Water,44,48,65,43,170,Caterpie,Bug,45,30,35,45,107,1
Wartortle,Water,59,63,80,58,178,Charjabug,Bug,57,82,95,36,207,2
Blastoise,Water,79,83,100,78,310,Combee,Bug,30,30,42,70,89,1
Mega Blastoise,Water,79,103,120,78,275,Crustle,Bug,70,105,125,45,139,1
Caterpie,Bug,45,30,35,45,110,Cutiefly,Bug,40,45,40,84,194,2
Metapod,Bug,50,20,55,30,120,Dottler,Bug,50,35,80,30,155,2
Butterfree,Bug,60,45,50,70,170.5,Durant,Bug,58,109,112,109,365.5,2
Weedle,Bug,40,35,30,50,130,Dustox,Bug,60,50,70,65,227.5,2
Kakuna,Bug,45,25,50,35,122.5,Dwebble,Bug,50,65,85,55,230,2
Beedrill,Bug,65,90,40,75,202.5,Escavalier,Bug,70,135,105,20,285,2
Mega Beedrill,Bug,65,150,40,145,355,Forretress,Bug,75,90,140,40,270,1
Pidgey,Normal,40,45,40,56,142.5,Galvantula,Bug,70,77,60,108,270,2
Pidgeotto,Normal,63,60,55,71,189,Genesect,Bug,71,120,95,99,355,2
Pidgeot,Normal,83,80,75,101,276.5,Golisopod,Bug,75,125,140,40,300,2
Mega Pidgeot,Normal,83,80,80,121,333,Grubbin,Bug,47,62,45,46,120,1
Rattata,Normal,30,56,35,72,68,Heracross,Bug,80,125,75,85,309,2
Alolan Rattata,Dark,30,56,35,72,99,Illumise,Bug,65,47,75,85,216,2
